Multiplier,Breadth,Full_Trading_CAGR,Full_Std_MaxDD,Full_Calmar,Return_2022
1.6,360,0.2583581038740781,-0.17043991449959894,1.5158309873165656,-0.05869645581482539
1.6,370,0.2897987695893425,-0.2153222490371963,1.345883998914021,-0.14564243755522222
1.6,380,0.2139079311068246,-0.31799688372260426,0.6726730419579244,-0.1162425924997996
1.6,390,0.22325375088354238,-0.20600153754901587,1.0837479833393064,-0.08584175781846268
1.6,400,0.10066766745827627,-0.35951110563989436,0.28001267799251356,-0.16614393532398442
1.6,410,0.24774013495527947,-0.2803275172088138,0.8837524671926507,-0.15974775882981573
1.6,420,0.2666466486475334,-0.21748631273179223,1.2260387575578906,-0.09581534184307358
1.6,430,0.2514583264177128,-0.39000196419260164,0.6447616922604283,-0.26716195066848464
1.6,440,0.26768247095790354,-0.312248323899802,0.8572743245334463,-0.13656224653665494
1.6,450,0.2694603251670187,-0.17725046634375616,1.5202235047688535,-0.08524942955501782
1.7,150,0.29021874704423123,-0.14748401434443875,1.9677979904075933,-0.0672637177507151
1.7,160,0.28961770599691716,-0.15828653323429945,1.829705282433713,-0.0794106109410454
1.7,170,0.2832368455678196,-0.19228576553931168,1.4729995471761195,-0.11309886072515861
1.7,180,0.28779498067157383,-0.1687256841841758,1.7056975176193425,-0.08886488103888425
1.7,190,0.29226616623941815,-0.130604635649092,2.2377932053244853,-0.05292913824891648
1.7,200,0.2946590261995581,-0.1375369645785561,2.14239878786375,-0.06248758691132596
1.7,210,0.293587298189915,-0.13919591791992142,2.109166005563569,-0.06419433385775719
1.7,220,0.29734259181266,-0.13361285534793227,2.2254040678823164,-0.054284350858796224
1.7,230,0.30207478944737787,-0.130604635649092,2.312894852055567,-0.019231385797462853
1.7,240,0.30130490734987614,-0.130604635649092,2.307000098828199,-0.024975293572852587
1.7,250,0.30074564514202806,-0.130604635649092,2.3027179980814023,-0.029137760188852682
1.7,260,0.3027756264216459,-0.130604635649092,2.3182609477594824,-0.013988636239067518
