roc,reb,atr_p,atr_m,mkt_t,Full_CAGR,Full_Calmar,Ret_2020,Ret_2021,Ret_2022,Ret_2023,Ret_2024,Ret_2025
8,7,20,3.5,0.45,0.30155610311589465,1.4922595414894189,0.622788153108333,0.16814906631238413,-0.07960501421192567,0.21614674354592345,0.7416077041594207,0.21706332709377207
8,7,20,3.5,0.48,0.2998571357123747,1.5652171297998896,0.622788153108333,0.16814906631238413,-0.06846803603884588,0.21356259006737077,0.7342515765047908,0.20102526025763057
8,7,20,4.0,0.42,0.3203222425756531,1.9640754837672019,0.7499940982916664,0.1494463095970866,-0.04523792154285855,0.25528639675566334,0.6796898075381677,0.20882914226722016
8,7,20,4.0,0.45,0.31205616917625667,1.4957220804340245,0.6557330572916662,0.15769148960131862,-0.08781600236053955,0.280073611610834,0.7315839414896603,0.2181416306357482
8,7,20,4.0,0.48,0.3104207196120812,1.5659433021983953,0.6557330572916662,0.15769148960131862,-0.07679636622918218,0.27673056877927515,0.7246997903870149,0.20280116231715106
8,7,20,4.5,0.42,0.3212909973322533,1.8867010819119012,0.7385443220749994,0.1130701722377494,-0.03700992005836279,0.28925955668508574,0.6957709851288303,0.20674908334737996
8,7,20,4.5,0.45,0.31195846046783826,1.374707849462245,0.6400431271499996,0.1196494617183359,-0.090965645415371,0.32253272555182244,0.7566894222720262,0.2171708156062504
8,7,20,4.5,0.48,0.3103224332733818,1.435093818136657,0.6400431271499996,0.1196494617183359,-0.07946058997994687,0.3185016576292321,0.7494694036427685,0.20184135987128382
8,9,10,3.5,0.42,0.28963397966774473,2.085445638324588,0.6893266383083332,0.203554042591088,0.024511018047089328,0.33167172434757286,0.16892666495900754,0.264573839972281
8,9,10,3.5,0.45,0.2883102526029828,2.0759144333302473,0.6893266383083332,0.203554042591088,0.012584965601311504,0.33557809715946085,0.17040843504805525,0.26654974107022
8,9,10,3.5,0.48,0.28202090877567176,2.0306293992067106,0.6893266383083332,0.203554042591088,0.012584965601311504,0.33557809715946085,0.17040843504805525,0.23155814791279838
8,9,10,4.0,0.42,0.2904412101783538,1.9330058768792633,0.7688969746083332,0.15296610159477164,0.022754793381897453,0.3275231318847529,0.18292660729940735,0.2585490573452174
8,9,10,4.0,0.45,0.2874087910279315,1.8628947409742236,0.7097468771333335,0.1580498709072391,0.024169954997486753,0.3364986966513961,0.1866572170073595,0.2629768974534097
8,9,10,4.0,0.48,0.28109831690412723,1.8219922027594255,0.7097468771333335,0.1580498709072391,0.024169954997486753,0.3364986966513961,0.1866572170073595,0.22794390921957386
8,9,10,4.5,0.42,0.2890431373097513,1.8806483846662743,0.7736296062999997,0.16016890380106696,0.010144481219930057,0.33174539128217884,0.1647937518483047,0.2706634840865356
8,9,10,4.5,0.45,0.2860090295383544,1.8122256845221687,0.7140772965249997,0.16551524380712057,0.011510025930857815,0.3408272962717931,0.16814025238193242,0.27535195784091293
8,9,10,4.5,0.48,0.279665572192473,1.7720319313758701,0.7140772965249997,0.16551524380712057,0.011510025930857815,0.3408272962717931,0.16814025238193242,0.23975469974864705
