roc,atr_p,atr_m,reb,mkt_t,mkt_s,Full_CAGR,Full_Calmar,Ret_2020,Ret_2021,Ret_2022,Ret_2023,Ret_2024,Ret_2025
10,20,3.0,13,0.4,30,0.22135001489912898,0.977592675221235,0.19113402566666626,0.021260448745625826,0.07453749376762842,0.5020854860285897,0.40075434382512665,0.11750972454306652
10,20,3.0,13,0.45,14,0.22663703645789868,1.1110594339938633,0.34026422479166696,0.019004157396809607,0.02033358405429575,0.49404532046858396,0.37976426136147445,0.1013154708573929
10,20,3.0,13,0.45,20,0.23399382732003504,1.150557314289992,0.34476621494166704,0.01894346683525394,0.03148677010645251,0.4669311409456336,0.3814166658021749,0.14331564510009676
10,20,3.0,13,0.45,30,0.2261206095600723,0.9986620137487838,0.19113402566666626,0.021260448745625826,0.061656306536952865,0.5081773418500235,0.40401579703568147,0.14946405031415622
10,20,4.0,5,0.4,14,0.2638864797876841,1.5904705207004686,0.5758583783583338,0.47259259943279264,-0.05051836553606581,0.23890770112158477,0.1564746553998413,0.1685203157279056
10,20,4.0,5,0.4,20,0.27393046978736013,1.6510066649453266,0.5758583783583338,0.47259259943279264,-0.02556408604814131,0.24655741392340524,0.15149774202182087,0.18886622728905555
10,20,4.0,5,0.4,30,0.2666850457036305,1.5434843710301025,0.4874484565166668,0.4993207663748567,-0.043674397244689245,0.26073206934561277,0.1584560247018345,0.1963659975740153
10,20,4.0,5,0.45,14,0.25880334992066945,1.5436857200391962,0.5528189541916668,0.4792783156867655,-0.07769810499157936,0.24830725097455275,0.16144266416058706,0.17313435343174355
10,20,4.0,5,0.45,20,0.27204221477999657,1.6396259609123156,0.5758583783583338,0.47259259943279264,-0.039507874200161,0.2501367710620126,0.15326931052620907,0.19078416025106804
10,20,4.0,5,0.45,30,0.264744985865738,1.53225594976355,0.4874484565166668,0.4993207663748567,-0.058145767728067344,0.26473815674546075,0.16039510798088563,0.19844011124096883
10,20,4.0,9,0.4,14,0.339335098553575,2.438132635793091,0.8126433741833323,0.4910187014686498,0.03432018210177734,0.15499935864520298,0.2995713420598307,0.23528242295012203
10,20,4.0,9,0.4,20,0.3403777464782518,2.445624091712718,0.8126433741833323,0.4910187014686498,0.06833340440849422,0.16158858739005622,0.2883428359637783,0.20461217917462515
10,20,4.0,9,0.4,30,0.3366595220974222,2.328943803456703,0.7426225601333325,0.5099862558965889,0.0648108561388745,0.16628757744754452,0.29556237330872137,0.2085762246320202
10,20,4.0,9,0.45,14,0.34508091146496334,2.4042514173536866,0.7555690505833328,0.5063696112453877,0.06817112021954896,0.15321493867298575,0.2965682036883339,0.256117918395681
10,20,4.0,9,0.45,20,0.3469038762950354,2.4925145258574495,0.8126433741833323,0.4910187014686498,0.087069704631215,0.1588035108921948,0.2840369026545244,0.22413856665831333
10,20,4.0,9,0.45,30,0.34091935296803255,2.3584124685580887,0.7426225601333325,0.5099862558965889,0.064198781862848,0.16638321780187804,0.29570872648695445,0.2312644521648537
