ROC,ATR_P,ATR_M,Full_CAGR,Full_Calmar,2020_CAGR,2020_Calmar,2021_CAGR,2021_Calmar,2022_CAGR,2022_Calmar,2023_CAGR,2023_Calmar,2024_CAGR,2024_Calmar,2025_CAGR,2025_Calmar
12,15,4.0,0.33096198688485523,2.742564796724012,1.464072392138704,12.132249507953574,0.47308852143157254,4.353423816164009,0.050999369794675786,0.691440792714737,0.08749274567232157,0.95814623412917,0.24845400055563927,2.431079121378091,0.2428572331073473,3.9444178316254828
12,20,1.5,0.20810430706675587,1.018427424086002,0.42231015927532556,2.07543418154814,0.4888668315089171,2.3924319248952552,0.02533134230018841,0.22304661766777756,-0.024789379430444014,-0.23002698964953455,0.3172981435074784,2.517348137730927,0.13164445373267242,1.8055799395618424
12,20,2.0,0.24506122777555195,1.8505443315919006,0.6862636543872629,5.284055339813821,0.5318631383539907,4.33988541218234,0.021740823679940124,0.29776110646585846,0.001020760034956547,0.008931893240575068,0.27185371246732015,2.052863895260392,0.17423527807155192,2.8498097190290257
12,20,2.5,0.26328522036809465,2.168860031903331,0.8944281701499326,8.937567886810307,0.45648380998531257,4.285086452477976,0.011444145911054138,0.15586380061730123,0.015846128205368792,0.14246576051926357,0.2712183216953894,2.234210401262286,0.23166963570455468,3.2465843204094726
12,20,3.0,0.2909621999786267,2.0605442283031206,1.1561271162661608,11.873688751420493,0.43264878390498107,3.063944232698472,0.005883516320185578,0.09252317697688228,0.06507709430324948,0.7152584954462077,0.26158226339225665,2.8815973732204414,0.24318428523989088,3.283569094815777
12,20,3.5,0.32154753175052897,2.4260737673104185,1.1921133063258083,8.994486147642384,0.5142862822056344,4.450696019398505,0.008884607266491651,0.0951623609165832,0.09946623953434397,1.1300966395985768,0.2851573149484836,3.023997370241437,0.2616716254959195,4.013107842578315
12,20,4.0,0.3308607555403835,2.551306756730552,1.3605684914605032,10.49150594965075,0.47139418926789833,4.280535446832732,0.06465983242025808,1.0227819881111384,0.09050378453653152,0.9609300854918515,0.26886294550347145,2.539349857645544,0.24174599987204615,3.9280801794411713
13,10,1.5,0.18727615189232294,1.0919403876808724,0.6199218382395999,4.21595510004586,0.16898980393700658,1.0559584369165274,0.062002857344505724,0.5689808936731635,0.0006517278618947131,0.004270690886706989,0.2149138363963059,1.2530858598989927,0.21286842308834908,2.0569785727025365
13,10,2.0,0.22723516127723098,1.2270758111188376,0.6366565911840005,4.360519651289269,0.29218023715572117,1.5777809186111877,0.022673577906026976,0.25583035231179346,0.048842235494995334,0.40952730997956643,0.26498669900693095,1.7640173106592574,0.2644679030959427,2.9291472185905936
13,10,2.5,0.2836148930973943,1.6400177544773475,1.0568927955583058,8.57633807702439,0.35476250369388107,2.0514324841220617,0.026506074127590207,0.26169383529821244,0.09655352102099402,1.0708732054822365,0.250821287897681,2.216432165276839,0.2785618086138357,3.6802439657772945
13,10,3.0,0.29961986870828694,1.7704254563563722,0.9493802447881674,7.086338143502459,0.4051836127107118,2.3941916319972174,0.01953981590471021,0.17952929116740118,0.17928393238103002,2.083375522690079,0.2588767752514636,2.3658279784463296,0.27816112922720926,3.3507312769430264
13,10,3.5,0.3120066025827195,2.0366857290883327,1.0807441194617566,8.527710515451128,0.42973848582534124,2.805204229895924,0.06124513386330532,0.6686796630350839,0.18086745980799046,2.523793430777093,0.21643413018513935,2.2890667686435364,0.25744818686410453,3.1562438082581528
13,10,4.0,0.3115414348608152,2.1189345235891697,1.185909424374454,8.74012708315786,0.36526317245590345,2.4843204136178487,0.06211189386300697,0.775037255693307,0.1806038350556225,2.3646328747082688,0.23737785190974892,2.454270190912221,0.2465122964728539,3.045736659345591
13,15,1.5,0.1718161885072964,0.7939481702054318,0.47292328505436143,2.3766292852698236,0.1833943778606486,0.8474500103477862,0.05421711235984694,0.4362208485698355,0.028890862606524514,0.20660734606525666,0.2520726539155731,1.5024591454849041,0.1409253606997416,1.3436086828063407
13,15,2.0,0.22383742029150056,1.3470212049555024,0.7409048485706442,5.3622031334397136,0.2423364749409589,1.458345838933145,0.01891551966392968,0.21589107966763263,0.05332650060768218,0.45631401372937125,0.2633216445602138,1.7821989544974954,0.2399407483974254,2.4375004964933877
13,15,2.5,0.25102397620475725,1.5037758357291986,0.9474593360220862,7.438332656250523,0.22419105145015505,1.3430314141883772,0.024689739962824975,0.2853638032400357,0.05758366055695441,0.48187041971100475,0.24808927316230478,1.9989700067265865,0.3216240104268513,3.482762164727949
13,15,3.0,0.2955657616561522,1.6201379753328284,0.9608416344152115,7.492233071527151,0.407381587291743,2.233054249329965,0.02988947598070002,0.2942917523016804,0.13917445646856086,1.5675136387172743,0.2479038439142296,2.2031706201947476,0.29056796649480754,3.4102025909759868
