roc,reb,atr_m,mkt_t,Full_CAGR,Full_Calmar,Full_MaxDD,Ret_2020,Ret_2021,Ret_2022,Ret_2023,Ret_2024,Ret_2025
10,7,4.5,0.4,0.29655316381120267,1.4329509158141616,-0.20695277175122895,0.7853279950749998,0.14463817249980515,0.023966512094224957,0.057174685531786285,0.5301430796454321,0.2942343045399003
10,7,4.5,0.42,0.2990146080447187,1.4671466026496471,-0.2038069048482969,0.7853279950749998,0.14463817249980515,0.044417950083860624,0.05605511023567411,0.5202275263643175,0.29205709016538894
10,7,5.0,0.38,0.30370573472867,1.5233812660669916,-0.19936291819628715,0.8248320792166661,0.13509735555608837,0.0542820273096698,0.056534564263129194,0.5060268776916506,0.30122288349391724
10,7,5.0,0.4,0.2991267662356567,1.4531164543447364,-0.20585188843005978,0.8248320792166661,0.13509735555608837,0.011668046051835912,0.0589159411103386,0.5263340587652097,0.30924717219709574
10,7,5.0,0.42,0.3009206752525524,1.4776822017755722,-0.2036437028821003,0.8248320792166661,0.13509735555608837,0.025864676865123615,0.05810062123060811,0.5193901667664007,0.3080225929675624
10,7,5.5,0.38,0.30921591589868336,1.6381491844368,-0.188759313764816,0.8839533050166666,0.14013136934013648,0.051388451097423626,0.06349155810331109,0.4894697265649073,0.2950933715323292
10,7,5.5,0.4,0.30472818795191725,1.564872398764634,-0.1947303743055859,0.8839533050166666,0.14013136934013648,0.010257397360415199,0.06607651783240254,0.5083212021894759,0.3027249109962489
10,7,5.5,0.42,0.3078503862331279,1.5975661202576565,-0.19269962121096906,0.8839533050166666,0.14013136934013648,0.02395999842302965,0.06519228391227072,0.5018816742638463,0.3093915602989532
10,7,6.0,0.38,0.30798830924731213,1.6218776064859022,-0.18989614753645054,0.8697272019833331,0.14115253364973102,0.051720948160271396,0.06871450270666712,0.4948949719701583,0.2850413437210304
10,7,6.0,0.4,0.30348044763169146,1.5883798528801885,-0.1910628915881767,0.8697272019833331,0.14115253364973102,0.010323765472743496,0.07153002275978526,0.5139800410184836,0.2923946354624989
10,7,6.0,0.42,0.30661669532714786,1.6146546378372042,-0.18989614753645054,0.8697272019833331,0.14115253364973102,0.024115026039767562,0.07056676262087325,0.5074605134428449,0.29913291100487904
10,9,4.0,0.38,0.33979397797742017,2.4414296979123344,-0.13917827667451488,0.8126433741833323,0.4910187014686498,0.03805969350904537,0.15444098818404606,0.2986325879443936,0.23471327054212154
10,9,4.0,0.4,0.339335098553575,2.438132635793091,-0.13917827667451488,0.8126433741833323,0.4910187014686498,0.03432018210177734,0.15499935864520298,0.2995713420598307,0.23528242295012203
10,9,4.0,0.42,0.3488882698371747,2.5067724516599084,-0.13917827667451488,0.8126433741833323,0.4910187014686498,0.07821405591382558,0.14868936643910535,0.28891107949802386,0.2509750577176262
10,9,4.5,0.38,0.34258255057526843,2.6484421115283037,-0.12935247823014662,0.8582865056333333,0.502369107998597,0.030529485843791004,0.17066874418153377,0.29360662763822143,0.20687701008637482
10,9,4.5,0.4,0.3421281613797895,2.644929312997529,-0.12935247823014662,0.8582865056333333,0.502369107998597,0.026906519831225273,0.1712708701274066,0.29449461946182187,0.2073615111527376
10,9,4.5,0.42,0.353997846318336,2.7366916441175224,-0.12935247823014662,0.8582865056333333,0.502369107998597,0.06943239972874782,0.1644602999082614,0.28439838816715834,0.23580950333671602
10,9,5.0,0.38,0.32911064179553984,2.136641354375633,-0.15403176631471321,0.8611308634083337,0.44459425646142603,0.015540843686728367,0.16684058485269992,0.27882334155380706,0.21897605962088962
10,9,5.0,0.4,0.3285657354337297,2.1331037310992964,-0.15403176631471321,0.8611308634083337,0.44459425646142603,0.011239088845515166,0.1675503154213831,0.2798436119143819,0.21960374041258612
10,9,5.0,0.42,0.3410036680153308,2.2138528705734766,-0.15403176631471321,0.8611308634083337,0.44459425646142603,0.05540715562043297,0.1605384494507187,0.26971041247473915,0.24965315907523378
10,9,5.5,0.38,0.33262968898800627,2.2405849567459706,-0.1484566286971276,0.8586303108666669,0.4711042125640119,0.011603667024965736,0.17843033429394484,0.27395638420666657,0.21392643535173472
10,9,5.5,0.4,0.33209155579587435,2.2369601055227233,-0.1484566286971276,0.8586303108666669,0.4711042125640119,0.007374238754173756,0.1791794683011465,0.27493591840678744,0.21452789423827534
10,9,5.5,0.42,0.3448266361847576,2.322743276679497,-0.1484566286971276,0.8586303108666669,0.4711042125640119,0.05447558009120668,0.17117587537174894,0.2644074901272391,0.24358170319997097
10,9,6.0,0.38,0.33410412801059763,2.2611464703168576,-0.1477587287672608,0.8677398221166666,0.47322442071401594,0.011362299423527622,0.18483644635211594,0.2650061660993708,0.2163119954958348
10,9,6.0,0.4,0.3335688023189778,2.257523498624518,-0.1477587287672608,0.8677398221166666,0.47322442071401594,0.007158913641903464,0.18560786273934027,0.2659429138682392,0.21691750375993957
10,9,6.0,0.42,0.3462598514340576,2.3434138498813284,-0.1477587287672608,0.8677398221166666,0.47322442071401594,0.05414014948129631,0.177335635581221,0.2558352171724909,0.2457489773695969
10,11,4.0,0.38,0.3005640319686673,1.2684187049916098,-0.23695963390153213,0.5963161218833333,0.2596797603266714,0.11169383757000229,0.2562316423257538,0.3862026301487509,0.18284030952337837
10,11,4.0,0.4,0.2954260101183901,1.2467355948108592,-0.23695963390153213,0.5963161218833333,0.2596797603266714,0.06100380628588642,0.26847324776441783,0.400748494464068,0.18781813141426484
10,11,4.0,0.42,0.3006090433490587,1.2686086587809968,-0.23695963390153213,0.5963161218833333,0.2596797603266714,0.11214210454798534,0.25612836399153793,0.38607870550784185,0.18279746589962698
10,11,4.5,0.38,0.32095778939940645,1.5392183843137022,-0.20851998174548392,0.657716218858333,0.2636249433403366,0.12867305984051014,0.25851801348593706,0.34880602655439374,0.2456963546517137
10,11,4.5,0.4,0.3158580234473658,1.5147614190418304,-0.20851998174548392,0.657716218858333,0.2636249433403366,0.07670184022405202,0.2709963951063237,0.361971349341079,0.25258746252070097
10,11,4.5,0.42,0.31920603589465,1.530817493952535,-0.20851998174548392,0.657716218858333,0.2636249433403366,0.1257715334464531,0.25918430928147207,0.3495157475933539,0.23815467616092634
