roc,reb,atr_p,atr_m,mkt_t,mkt_s,Full_CAGR,Full_Calmar,Full_MaxDD,Ret_2020,Ret_2021,Ret_2022,Ret_2023,Ret_2024,Ret_2025
8,5,20,2.0,0.42,14,0.21601563345894625,1.1042116349184665,-0.19562883294097563,0.5953191355749989,0.29950703647823484,0.003133697511532807,0.15974524525172873,0.2194951267337908,0.015609633737115436
8,5,20,2.0,0.42,20,0.22687572791448019,1.167687936109795,-0.19429482903653772,0.5953191355749989,0.29950703647823484,0.03279795179593936,0.146631817620263,0.21560571340585977,0.053119389243832194
8,5,20,2.5,0.35,10,0.21652408102973486,1.0768825395062425,-0.20106564373214977,0.5048418133166657,0.33626731753177364,-0.04495535371023174,0.1613975182303018,0.2278269810247342,0.08914080864262441
8,5,20,2.5,0.35,14,0.22344791146739595,1.178352060504247,-0.18962746275656944,0.5657537466833322,0.32369821613318694,-0.032870601997783466,0.1548424057177764,0.21976370646747512,0.09258126777824649
8,5,20,2.5,0.35,20,0.2261296160520756,1.2007373374526487,-0.18832563042622388,0.5657537466833322,0.32369821613318694,-0.012013487022518365,0.1515800595949215,0.21571797281648886,0.08966886118760908
8,5,20,2.5,0.4,10,0.21509845877330713,1.106888051741076,-0.1943272026786889,0.5048418133166657,0.33626731753177364,0.004138507096791422,0.1556117781047539,0.21817399402507776,0.044361157296745723
8,5,20,2.5,0.4,14,0.22206013264443625,1.2105050527573276,-0.18344420135927603,0.5657537466833322,0.32369821613318694,0.014821206359794559,0.14957642753340905,0.21076841808726843,0.0489367024863645
8,5,20,2.5,0.4,20,0.23168623924542797,1.2642480734460941,-0.18326010860660946,0.5657537466833322,0.32369821613318694,0.035678321335059326,0.1388743280619813,0.20845069913073622,0.08717777052984732
8,5,20,2.5,0.42,10,0.21188602139691382,1.0827391875667756,-0.1956944237633832,0.5048418133166657,0.33626731753177364,-0.006046819541154158,0.15720637714610608,0.22011824054506524,0.03613877806497112
8,5,20,2.5,0.42,14,0.22116094385057217,1.2004562640106233,-0.184230738329185,0.5657537466833322,0.32369821613318694,0.008606887856373202,0.15049801112805672,0.211904053849872,0.049153508355868514
8,5,20,2.5,0.42,20,0.23204494341287862,1.268429094553084,-0.1829388370302535,0.5657537466833322,0.32369821613318694,0.038257210683340315,0.13852938316614694,0.20799320454197545,0.08701993010586628
8,5,20,3.0,0.35,10,0.23543113246571945,1.3186725733347389,-0.17853645948694222,0.5723907892833333,0.29039337219500894,-0.014464724775093196,0.17542349246521072,0.25418617645814257,0.09896448996377338
