ROC,ATR_P,ATR_M,REB,MKT_T,MKT_S,Full_CAGR,Full_MaxDD,Full_Calmar,2020_CAGR,2020_Calmar,2021_CAGR,2021_Calmar,2022_CAGR,2022_Calmar,2023_CAGR,2023_Calmar,2024_CAGR,2024_Calmar,2025_CAGR,2025_Calmar
12,15,2.5,5,0.45,20,0.25512347264696755,-0.19612349534555543,1.3008307454313845,0.8341459138716203,5.595167671240505,0.25582246649577045,1.3043947949481003,-0.04413065439669295,-0.29573869006384756,0.21715099716496455,1.6809446586942756,0.3579007465323141,2.1301921581780405,0.15833427382822873,1.0465370187953746
12,15,2.5,9,0.42,14,0.2722399011243266,-0.11985109042602335,2.2714845576842158,1.1075600792495077,9.594657113442258,0.3598485165845058,3.0024634344617662,0.0037335093273094255,0.0564143889895067,0.010280856638264835,0.09183119786009866,0.27162792280247294,2.278247619309327,0.28265466056940114,3.9615561351271382
12,15,2.5,9,0.42,20,0.27217276930459056,-0.11985109042602335,2.270924430784265,1.1075600792495077,9.594657113442258,0.3598485165845058,3.0024634344617662,0.013452082522234399,0.20706631057257366,0.015517517613328202,0.14044682858713414,0.26768010831026245,2.2749473793153054,0.26741637504210725,3.7898418190367718
12,15,2.5,9,0.45,14,0.2715715560105345,-0.11985109042602335,2.2659080951637964,1.1075600792495077,9.594657113442258,0.3598485165845058,3.0024634344617662,-0.0012577759442271574,-0.017693174407838918,0.010331640378440587,0.09187994612746465,0.2729579896687826,2.2793595047276436,0.283746982782497,3.9622501724579733
12,15,2.5,9,0.45,20,0.2715042572867179,-0.11985109042602335,2.265346575668418,1.1075600792495077,9.594657113442258,0.3598485165845058,3.0024634344617662,0.008460236215787065,0.1302274125125215,0.015593441308555,0.14052294457403722,0.26897170318362806,2.276027111931612,0.26843783486899797,3.790490510115934
12,15,2.5,14,0.42,14,0.2131723709717832,-0.1819545188622826,1.1715695345446668,0.9121840671099415,9.918960514404072,0.1311620070631312,0.7208505063971775,-0.0883910560477692,-0.6814997073536362,0.2705670140135814,1.545848118533083,0.1441977300472348,1.2717639313760745,0.2511262715916729,2.6871432697230846
12,15,2.5,14,0.42,20,0.22132779017942217,-0.18423332931674127,1.2013450063582503,0.9121840671099415,9.918960514404072,0.1311620070631312,0.7208505063971775,-0.09814602211923551,-0.7065646801634067,0.27346421798761056,1.4843362978989538,0.14542071362605147,1.2727357066809404,0.31020454122888763,3.448033572446788
12,15,2.5,14,0.45,14,0.21280254679920185,-0.1816483845107291,1.1715080614253006,0.927752920878308,10.152916729120939,0.13042781283794525,0.7208470059881831,-0.09584945743821283,-0.7019987797767423,0.2714055995989,1.494126140069632,0.1445522730597011,1.2720456492603573,0.25167499585257724,2.688356686996662
12,15,2.5,14,0.45,20,0.22032641690065935,-0.1917270899440192,1.1491668546421405,0.9121840671099415,9.918960514404072,0.1311620070631312,0.7208505063971775,-0.10608649107429025,-0.7246360463737551,0.27586900170145845,1.4388629263710575,0.14643175127012564,1.273539069824134,0.3121186535895557,3.4531841581299507
12,15,3.0,5,0.42,14,0.26837752130274883,-0.17802555254672742,1.5075224733949706,0.855542125518062,5.788370344452169,0.3966379263086124,2.2279831217179034,-0.039148310955968824,-0.28783181360758503,0.1773374106572012,1.350980956045679,0.36430044465083955,2.1841730890722646,0.12651269137297527,1.043786379224891
12,15,3.0,5,0.42,20,0.2747292181912051,-0.17802555254672742,1.5432010419914035,0.855542125518062,5.788370344452169,0.3966379263086124,2.2279831217179034,-0.02831638562269445,-0.2295131406217995,0.1819184827879905,1.4040891461169827,0.35887751692936143,2.179930233613619,0.14661257888402024,1.1408069466412916
12,15,3.0,5,0.45,14,0.2641143577853897,-0.18062274408964946,1.4622430808287379,0.8171553569181766,5.427253525806173,0.4024377392181977,2.2280568332992083,-0.0625235230701574,-0.3919768995577052,0.18362623994079108,1.363248499234288,0.3752975177563158,2.1927769900823506,0.12929205128292076,1.0438713173806118
