sma,roc,atr_p,atr_m,reb,mkt_t,mkt_s,Full_CAGR,Full_Calmar,Ret_2020,Ret_2021,Ret_2022,Ret_2023,Ret_2024,Ret_2025
150,10,20,4.0,9,0.42,20,0.2830743055833842,1.036986742010079,0.2417321514249997,0.387121490389825,-0.11813978883288123,0.437395428072455,0.4383489384480659,0.3710178006071734
150,10,20,4.0,9,0.45,14,0.2775637474199393,0.9738907818293586,0.18959521610833363,0.40407231040473435,-0.10251422245999853,0.4432285584813125,0.4424054383958469,0.3460257966699045
150,10,20,4.0,9,0.45,20,0.28044331839789205,0.9630524982386518,0.2417321514249997,0.387121490389825,-0.1471590332869328,0.45227848991602326,0.4486346958660723,0.3771182541871627
150,10,20,4.0,14,0.42,14,0.29353709828829055,1.467943989023031,0.5323456267416671,0.3523387091453738,-0.0531938591488581,0.2852268341380204,0.3294449792281211,0.3508142863654009
150,10,20,4.0,14,0.42,20,0.29680633874782436,1.4842930703120008,0.5323456267416671,0.3523387091453738,-0.04653952264359862,0.2832361954280165,0.32763622786871216,0.36499903064210826
150,10,20,4.0,14,0.45,14,0.29334212137481286,1.4102865611854691,0.555120400441667,0.34716887561476617,-0.06546472271870529,0.28579535585465843,0.32996056056051204,0.35122765337200335
150,10,20,4.0,14,0.45,20,0.2954740712384307,1.448678280413055,0.5323456267416671,0.3523387091453738,-0.0595380307323089,0.2871509182957084,0.331188117592663,0.36797552096998576
150,10,20,5.0,5,0.42,14,0.28459619679617765,1.6214073955574873,0.6332970077249989,0.24040279579091983,-0.1335092655408182,0.1957527451631378,0.38734714158230443,0.39874688735009256
150,10,20,5.0,5,0.42,20,0.2880398031802238,1.6305096309509413,0.582980687774999,0.24772354506412864,-0.12032375307971743,0.19754259191260992,0.3902892227926964,0.4283235229208566
150,10,20,5.0,5,0.45,14,0.279111059834783,1.4276320177998094,0.5643932619749983,0.2505419727053191,-0.15527245265015766,0.20759429647420102,0.4066455832314806,0.41286036055723363
150,10,20,5.0,5,0.45,20,0.28622490015321356,1.5980350935120762,0.582980687774999,0.24772354506412864,-0.13741071757633916,0.20145569786391215,0.3966901034872423,0.43334960653360866
150,10,20,5.0,9,0.42,14,0.3123957848585901,1.3389354742795634,0.4237826640666664,0.3414300186712287,-0.05984675579441545,0.41784753579728684,0.4417271649735093,0.3246907387248694
150,10,20,5.0,9,0.42,20,0.31216899950344623,1.3073405479068534,0.4237826640666664,0.3414300186712287,-0.10641610118791622,0.4396237632362945,0.4576327922320098,0.3564808597254405
150,10,20,5.0,9,0.45,14,0.3066800146677653,1.1779741588322008,0.35975590838333327,0.3574938737776583,-0.09233452919428109,0.4478497172859255,0.4635151276072784,0.3357762737415695
150,10,20,5.0,9,0.45,20,0.3095148318448502,1.1639815180857849,0.4237826640666664,0.3414300186712287,-0.13580173319885525,0.45457244182777656,0.4682725137738477,0.36219964361274437
150,10,20,5.0,14,0.42,14,0.2932927655105133,1.190101698814804,0.5381438555416664,0.1995553859018766,-0.045704298943247346,0.2890980951996496,0.41774272848450367,0.4089041595864633
150,10,20,5.0,14,0.42,20,0.2984941587986316,1.211207527925927,0.5381438555416664,0.1995553859018766,-0.016948860373884767,0.2806416251525319,0.4081020395048136,0.41831973654555
150,10,20,5.0,14,0.45,14,0.291449978603342,1.072210804281288,0.5633229428666666,0.19633523261411523,-0.07837536798333533,0.29526667839651033,0.42469864143665603,0.41369000736529693
150,10,20,5.0,14,0.45,20,0.2954266671745658,1.1845758802574458,0.5381438555416664,0.1995553859018766,-0.05070286315124273,0.29062035344227044,0.41946523374839995,0.4265369589250525
150,15,10,3.0,5,0.42,14,0.25445672644447126,0.928553544122609,0.6260169867166658,0.24679323149942145,-0.22327888681074948,0.17896232497439435,0.5632550471944653,0.24012394016813676
150,15,10,3.0,5,0.42,20,0.26130710518535283,1.0946249702917525,0.5918090442333326,0.25194029881631663,-0.1863794924493829,0.17369511621439493,0.5492126027195918,0.2591202466025153
150,15,10,3.0,5,0.45,14,0.2497642054112721,0.8798745493002601,0.5441833765833324,0.259474467807044,-0.23124329368967256,0.1882013655175212,0.5875758167467107,0.24668196553937527
150,15,10,3.0,5,0.45,20,0.261438921118319,1.1002701780287771,0.5918090442333326,0.25194029881631663,-0.1852514724120764,0.17345463517658044,0.5485683676035713,0.25892318707589945
150,15,10,3.0,9,0.42,14,0.28877289233633285,1.1873148523958652,0.21980074954999984,0.7632205774682947,-0.09065574077464578,0.27992483194049367,0.33206499379377474,0.3189544490532923
150,15,10,3.0,9,0.42,20,0.29387933763475305,1.208310446188304,0.21980074954999984,0.7632205774682947,-0.09164466360929457,0.2802295849894394,0.33234771698509324,0.3503335236870142
150,15,10,3.0,9,0.45,14,0.283152153007326,1.10524063122814,0.15652840663333345,0.8047509816440765,-0.11496071637311489,0.296340395226935,0.3471054505877642,0.32981089680948483
150,15,10,3.0,9,0.45,20,0.2916030531285492,1.1989513045437112,0.21980074954999984,0.7632205774682947,-0.112563644816007,0.2868352614277725,0.33844311612421407,0.35519215705213525
150,15,10,3.0,14,0.42,14,0.2635260703637441,0.7353943361837598,0.1499980214500003,0.6150081977087019,-0.09159123120432455,0.23495184758581678,0.465773267885478,0.31412127538433054
150,15,10,3.0,14,0.42,20,0.2679526006005104,0.7477469860015592,0.1499980214500003,0.6150081977087019,-0.07932793034755603,0.23182230201929777,0.46067309299989434,0.3308860275380672
150,15,10,3.0,14,0.45,14,0.2625482221460338,0.7454494427075692,0.1727727951500002,0.6030347989934008,-0.11222027804833679,0.2374360179816235,0.4698043156119187,0.31597598883438627
150,15,10,3.0,14,0.45,20,0.2657178087562593,0.7415105887352718,0.1499980214500003,0.6150081977087019,-0.10136321802661064,0.23750676900071666,0.4699188986894962,0.3354163881798089
150,15,10,4.0,5,0.42,14,0.2617840731868186,1.0891715969842544,0.6192225134666662,0.2447328239077058,-0.19547096535398456,0.20171420430217757,0.4947414534596122,0.27814383623088457
150,15,10,4.0,5,0.42,20,0.26898084728372385,1.3235216141480821,0.5946109184083328,0.2483988064073288,-0.15715020006551694,0.1948559049195433,0.4807409241361913,0.2955334199037716
150,15,10,4.0,5,0.45,14,0.2560762133472261,0.9900618001255393,0.5373889033333321,0.25736206839899256,-0.2122574232219866,0.21447699515561114,0.5203627826723343,0.28765757504996414
150,15,10,4.0,5,0.45,20,0.2680138394379237,1.2666483825702137,0.5946109184083328,0.2483988064073288,-0.1656609214656235,0.1968435432342308,0.4848154666097708,0.2972270723406194
150,15,10,4.0,9,0.42,14,0.3251651936103166,1.4326590803023702,0.3768112235083332,0.6960227764453617,-0.059418156386253584,0.2942474525690042,0.3597931631700195,0.3259993638082912
150,15,10,4.0,9,0.42,20,0.3285724800149259,1.447671387593182,0.3768112235083332,0.6960227764453617,-0.07065958103333381,0.29780670868026626,0.36312921003372733,0.3550840248938951
150,15,10,4.0,9,0.45,14,0.32026392601222087,1.348038928021773,0.3135388805916661,0.7293909268955314,-0.0807764528475502,0.30948081614120904,0.3739417215964478,0.33542790773645526
