roc,reb,atr_m,mkt_t,mkt_s,Full_CAGR,Full_Calmar,Ret_2020,Cal_2020,Ret_2021,Cal_2021,Ret_2022,Cal_2022,Ret_2023,Cal_2023,Ret_2024,Cal_2024,Ret_2025,Cal_2025
10,7,5.0,0.35,10,0.29785282327361573,1.4153912221666993,0.7618021472416665,9.788277635070658,0.13971442662653621,0.6992931498503849,0.0057938023719630305,0.03898750288246717,0.07736927761429535,0.4226861177858139,0.5408687035760251,2.5810776426592064,0.32556006376490676,3.128080189293652
10,7,5.0,0.35,14,0.304262026640695,1.5026129992785495,0.8248320792166661,10.783784963496437,0.13509735555608837,0.6961517386353749,0.026394993579134107,0.1895794384984809,0.07354830264992773,0.417575666003272,0.5157716360590627,2.557863196949745,0.321192454102444,3.360179928189086
10,7,5.0,0.35,20,0.30509078944381285,1.529138885209292,0.8248320792166661,10.783784963496437,0.13509735555608837,0.6961517386353749,0.04621180726198992,0.3319495592495181,0.07214410219295986,0.4156976469137496,0.5065088676383576,2.5492953946993904,0.3099952622231903,3.509225535841759
10,7,5.0,0.4,5,0.2844367893663351,1.2550976045155764,0.6959531243000001,9.075236683337176,0.14488755545079934,0.7028130563523531,-0.05108560967351883,-0.3375186979082381,0.06684558330432577,0.3390840057323706,0.5933979752958154,2.629668195010749,0.32622172966855834,2.915341206783845
10,7,5.0,0.4,10,0.2925952246514587,1.3667984142916954,0.7618021472416665,9.788277635070658,0.13971442662653621,0.6992931498503849,-0.00938094715660176,-0.06332386168178203,0.06199732731760066,0.33291880614051145,0.552495640675055,2.5918325785174607,0.3132884282581996,2.970462260767212
10,7,5.0,0.4,14,0.2991267662356567,1.4531164543447364,0.8248320792166661,10.783784963496437,0.13509735555608837,0.6961517386353749,0.011668046051835912,0.08379741606506388,0.0589159411103386,0.32900061481062365,0.5263340587652097,2.5676332302980747,0.30924717219709574,3.1937962207718487
10,7,5.0,0.4,20,0.3026652358149442,1.4914043661108798,0.8248320792166661,10.783784963496437,0.13509735555608837,0.6961517386353749,0.030455370476291987,0.21874782668404585,0.057841782120899854,0.3276347853926038,0.5171837913549306,2.5591694074592644,0.31435761781594995,3.5115945883830606
10,7,5.0,0.45,5,0.27448691900561006,1.1309634099612942,0.6247416357000004,7.665379941043298,0.15093109679953431,0.7069254218750153,-0.06781939905728063,-0.36971596321948685,0.032705524956973875,0.1482038382047272,0.647557637768716,2.67976927361445,0.33980194995504576,2.9236710206767085
10,7,5.0,0.45,10,0.2875802339959721,1.3029695674616042,0.6905906586416666,8.789672791187348,0.14532575286545701,0.7031112228570295,-0.01454160130624782,-0.08147599670223651,0.06453916985840547,0.33615104782776817,0.573979426134209,2.6117054101205586,0.3165584478850303,2.973236790595608
10,7,5.0,0.45,14,0.29277810761131606,1.3567315491823584,0.7019203808666661,8.09190806765521,0.14440303319307946,0.7024833700267354,0.00942050662675209,0.05521561080347524,0.06265248579824023,0.33375190453210873,0.5580414344883233,2.5969624863781062,0.32293635826332046,3.263638466903638
